hour,mean,std,p5,p25,p50,p75,p95,mean_MW,std_MW,p5_MW,p25_MW,p50_MW,p75_MW,p95_MW
0,0.0422,0.0002,0.0418,0.0420,0.0422,0.0423,0.0424,5.9680,0.0270,5.9127,5.9492,5.9719,5.9880,6.0061
1,0.0419,0.0002,0.0415,0.0418,0.0419,0.0421,0.0423,5.9342,0.0327,5.8769,5.9162,5.9341,5.9542,5.9837
2,0.0417,0.0002,0.0414,0.0416,0.0417,0.0419,0.0421,5.9103,0.0316,5.8601,5.8890,5.9084,5.9306,5.9571
3,0.0415,0.0002,0.0411,0.0414,0.0416,0.0417,0.0419,5.8819,0.0349,5.8256,5.8622,5.8852,5.8986,5.9344
4,0.0414,0.0003,0.0408,0.0412,0.0414,0.0415,0.0418,5.8546,0.0431,5.7743,5.8309,5.8589,5.8816,5.9153
5,0.0412,0.0003,0.0406,0.0410,0.0412,0.0415,0.0416,5.8311,0.0462,5.7465,5.8026,5.8382,5.8690,5.8951
6,0.0411,0.0003,0.0405,0.0409,0.0411,0.0413,0.0415,5.8163,0.0444,5.7408,5.7863,5.8242,5.8487,5.8768
7,0.0411,0.0003,0.0405,0.0409,0.0411,0.0413,0.0415,5.8151,0.0459,5.7367,5.7902,5.8148,5.8480,5.8820
8,0.0412,0.0003,0.0406,0.0410,0.0412,0.0414,0.0417,5.8340,0.0464,5.7534,5.8059,5.8394,5.8675,5.9015
9,0.0413,0.0003,0.0409,0.0411,0.0413,0.0415,0.0417,5.8457,0.0371,5.7866,5.8220,5.8471,5.8729,5.9050
10,0.0413,0.0003,0.0408,0.0412,0.0413,0.0415,0.0418,5.8533,0.0383,5.7826,5.8309,5.8539,5.8758,5.9202
11,0.0415,0.0002,0.0411,0.0413,0.0415,0.0416,0.0420,5.8745,0.0346,5.8215,5.8531,5.8747,5.8934,5.9406
12,0.0416,0.0002,0.0413,0.0415,0.0416,0.0417,0.0420,5.8897,0.0299,5.8501,5.8698,5.8875,5.9044,5.9436
13,0.0416,0.0002,0.0413,0.0415,0.0416,0.0418,0.0420,5.8923,0.0327,5.8400,5.8712,5.8925,5.9114,5.9442
14,0.0416,0.0002,0.0413,0.0415,0.0417,0.0417,0.0420,5.8950,0.0280,5.8494,5.8807,5.8978,5.9092,5.9447
15,0.0417,0.0002,0.0414,0.0415,0.0417,0.0418,0.0420,5.8969,0.0264,5.8571,5.8766,5.8988,5.9120,5.9418
16,0.0417,0.0002,0.0414,0.0416,0.0417,0.0418,0.0420,5.9021,0.0228,5.8667,5.8870,5.9007,5.9174,5.9410
17,0.0418,0.0002,0.0415,0.0416,0.0418,0.0419,0.0421,5.9149,0.0255,5.8805,5.8940,5.9134,5.9350,5.9578
18,0.0419,0.0002,0.0416,0.0417,0.0418,0.0420,0.0422,5.9257,0.0279,5.8867,5.9030,5.9219,5.9464,5.9755
19,0.0420,0.0002,0.0417,0.0418,0.0420,0.0421,0.0424,5.9417,0.0300,5.8973,5.9213,5.9403,5.9588,5.9992
20,0.0421,0.0002,0.0418,0.0420,0.0421,0.0423,0.0425,5.9629,0.0312,5.9164,5.9407,5.9585,5.9882,6.0180
21,0.0422,0.0002,0.0419,0.0420,0.0422,0.0424,0.0425,5.9751,0.0270,5.9370,5.9522,5.9747,5.9979,6.0180
22,0.0422,0.0002,0.0420,0.0421,0.0422,0.0424,0.0425,5.9792,0.0275,5.9392,5.9597,5.9781,6.0020,6.0224
23,0.0422,0.0002,0.0419,0.0421,0.0422,0.0424,0.0425,5.9793,0.0283,5.9386,5.9564,5.9795,6.0045,6.0224
