hour,mean_kW,std_kW,p5_kW,p25_kW,p50_kW,p75_kW,p95_kW,min_kW,max_kW
0,5628.09,1309.94,4008.47,4736.49,5490.48,6392.06,7824.58,2254.35,9871.58
1,8030.17,2229.87,5351.40,6548.16,7589.55,9086.03,12622.20,2752.79,13398.89
2,12242.97,3946.41,7291.71,8954.99,11612.92,14439.50,19326.64,5948.16,21856.55
3,16633.95,2480.31,13175.82,14896.61,16349.26,18226.41,20426.90,9788.79,23669.20
4,20760.79,3066.03,16502.31,18776.10,20687.19,22548.36,24833.53,8672.11,30512.58
5,26963.67,3348.99,22617.37,25304.81,26959.76,29278.38,31150.95,10652.04,34582.22
6,33523.51,4185.06,28550.17,31413.79,33797.15,35624.27,39971.19,10955.52,42873.56
7,36597.92,6854.96,28634.87,32248.80,35157.04,40065.19,49090.66,10090.64,53193.43
8,41551.25,5619.50,35196.59,37253.12,41679.22,45597.71,49410.52,17280.33,53398.15
9,43482.08,5261.55,36093.67,40853.82,43775.29,47407.24,49858.88,15080.65,51556.23
10,42238.53,4829.54,35558.45,39993.91,42418.04,44769.97,49145.63,18528.77,56128.27
11,39591.55,4171.41,34814.18,37076.55,39040.72,42373.86,45213.04,19029.05,49159.05
12,37802.53,4507.49,31878.86,35364.29,37605.74,40498.57,44162.35,16053.50,46677.85
13,36003.82,4594.30,29577.45,33710.66,36687.85,38265.60,42512.09,11081.66,44120.71
14,35129.99,4192.47,30341.01,33525.60,34980.92,37779.32,40356.86,9271.15,42433.61
15,34084.35,4562.30,27738.84,31894.01,34506.74,36416.30,40140.19,10344.39,44204.25
16,32502.12,3881.99,28437.62,30296.16,32354.53,34528.67,38094.70,12558.10,41022.57
17,31304.50,3893.43,26962.80,29275.26,30970.79,33536.91,36998.81,10769.80,38428.65
18,28991.53,3774.66,24421.15,27410.45,29098.04,30620.41,34868.82,8520.59,36776.59
19,25666.84,3225.44,21693.95,24275.44,25622.88,26989.74,30738.67,9865.32,33025.85
20,20217.05,2932.55,15091.54,18911.86,20459.00,21832.13,24519.91,8083.96,26082.56
21,13951.50,2929.21,9088.43,12088.45,13993.19,16109.22,18583.75,4530.95,20288.17
22,9168.32,1951.43,6381.79,7860.76,8975.21,10375.58,12878.44,4594.27,13161.11
23,6500.12,1400.15,4654.77,5631.18,6402.34,7290.63,8786.21,1966.08,10106.60
