hour,mean,std,p5,p25,p50,p75,p95
0,0.008728,0.001420,0.006820,0.007822,0.008578,0.009353,0.010699
1,0.011653,0.001778,0.009016,0.010254,0.011436,0.013001,0.014531
2,0.026733,0.006028,0.017253,0.021564,0.028371,0.031605,0.034326
3,0.038912,0.003203,0.033858,0.036393,0.038958,0.040727,0.044313
4,0.045311,0.004073,0.039837,0.042286,0.044234,0.048083,0.051817
5,0.057748,0.003827,0.051305,0.055225,0.058187,0.059977,0.064286
6,0.065720,0.004083,0.059687,0.062293,0.065365,0.068424,0.072857
7,0.066193,0.005507,0.058435,0.062307,0.065075,0.069954,0.075295
8,0.067443,0.004429,0.060140,0.064505,0.066795,0.070194,0.074252
9,0.065330,0.004201,0.056683,0.062416,0.065541,0.068219,0.071555
10,0.062258,0.003260,0.056542,0.060069,0.062817,0.064041,0.066978
11,0.059574,0.003280,0.054804,0.057310,0.059460,0.061416,0.064642
12,0.056763,0.003031,0.051830,0.054692,0.056783,0.059223,0.060663
13,0.054143,0.003504,0.047483,0.052333,0.054492,0.056056,0.059276
14,0.051618,0.003143,0.046875,0.049378,0.051503,0.053613,0.056563
15,0.049219,0.003604,0.043676,0.046756,0.049126,0.051228,0.055242
16,0.045105,0.003032,0.040653,0.043111,0.044810,0.046612,0.050520
17,0.041249,0.003003,0.036708,0.039532,0.040838,0.042828,0.046449
18,0.035594,0.003044,0.030974,0.033564,0.035506,0.037150,0.041356
19,0.029909,0.002940,0.025764,0.028174,0.029340,0.031789,0.034806
20,0.023124,0.002150,0.019938,0.021767,0.023060,0.024434,0.026994
21,0.016569,0.002030,0.012993,0.015476,0.016767,0.018084,0.019556
22,0.011851,0.001647,0.008876,0.010920,0.011733,0.013174,0.014210
23,0.009252,0.001392,0.007124,0.008526,0.009331,0.009994,0.011542
